StudentID,Grade,Attempt,Date,Reading,Math,Writing,Total
22040018,11,2,6/1/2011,510,670,490,1670
22040018,12,3,10/1/2011,510,660,490,1660
22040019,11,1,3/1/2011,330,380,360,1070
22040019,11,2,6/1/2011,390,400,400,1190
22040019,12,3,10/1/2011,390,500,430,1320
22040024,11,1,3/1/2011,430,480,510,1420
22040024,11,2,6/1/2011,380,450,460,1290
22040024,12,3,10/1/2011,400,500,460,1360
22040032,11,1,3/1/2011,500,560,500,1560
22040032,11,2,6/1/2011,530,600,500,1630
22040032,12,3,10/1/2011,530,590,520,1640
22040041,11,1,3/1/2011,330,400,330,1060
22040041,11,2,6/1/2011,390,410,410,1210
22040041,12,3,10/1/2011,390,420,410,1220
22040042,11,1,3/1/2011,540,560,580,1680
22040042,11,2,6/1/2011,570,640,630,1840
22040042,12,3,10/1/2011,570,640,700,1910
22040047,11,1,3/1/2011,350,500,360,1210
22040047,12,2,10/1/2011,550,530,500,1580
22040048,11,1,3/1/2011,440,450,450,1340
22040048,11,2,6/1/2011,470,460,530,1460
22040048,12,3,10/1/2011,560,500,530,1590
22040051,11,1,3/1/2011,410,470,440,1320
22040051,11,2,6/1/2011,380,500,480,1360
22040051,12,3,10/1/2011,440,510,480,1430
22050001,11,1,3/1/2011,430,520,490,1440
22050001,11,2,6/1/2011,450,490,460,1400
22050001,12,3,10/1/2011,450,520,510,1480
22050003,11,1,3/1/2012,390,550,470,1410
22050003,11,2,5/1/2012,480,570,540,1590
22050003,12,3,10/1/2012,380,520,430,1330
22050004,11,1,3/1/2013,420,400,390,1210
22050004,11,2,5/4/2013,440,440,440,1320
22050004,11,3,6/1/2013,420,420,520,1360
22050004,12,4,10/5/2013,480,470,460,1410
22050013,11,1,3/1/2012,360,470,450,1280
22050013,11,2,6/1/2012,280,430,390,1100
22050017,11,1,3/1/2012,540,600,530,1670
22050017,11,2,5/1/2012,540,600,560,1700
22050017,12,3,10/1/2012,520,620,480,1620
22050018,11,1,3/1/2013,560,480,440,1480
22050018,11,2,5/4/2013,520,450,560,1530
22050018,11,3,6/1/2013,560,480,480,1520
22050018,12,4,10/5/2013,540,400,460,1400
22050035,11,1,5/1/2012,450,470,540,1460
22050035,12,2,10/1/2012,430,460,530,1420
22050044,11,1,3/1/2012,410,510,530,1450
22050044,11,2,5/1/2012,450,520,480,1450
22050044,12,3,10/1/2012,390,480,350,1220
22050047,11,1,3/1/2013,320,400,330,1050
22050047,11,2,5/4/2013,380,440,380,1200
22050047,11,3,6/1/2013,340,420,370,1130
22050047,12,4,10/5/2013,320,430,310,1060
22050050,11,1,3/1/2011,440,450,510,1400
22050050,11,2,6/1/2011,480,520,490,1490
22050050,12,3,10/1/2011,480,520,510,1510
22050057,11,1,3/1/2011,530,600,550,1680
22050057,11,2,6/1/2011,530,590,590,1710
22050057,12,3,10/1/2011,550,600,590,1740
22060008,11,1,3/1/2013,380,380,480,1240
22060008,11,2,5/4/2013,410,440,440,1290
22060008,11,3,6/1/2013,470,400,450,1320
22060012,11,1,3/1/2013,470,480,530,1480
22060012,11,2,5/4/2013,450,470,490,1410
22060012,11,3,6/1/2013,460,520,520,1500
22060012,12,4,10/5/2013,450,500,520,1470
22060016,11,1,5/4/2013,530,470,520,1520
22060016,11,2,6/1/2013,510,590,500,1600
22060016,12,3,10/5/2013,470,480,430,1380
22060017,11,1,3/1/2013,470,400,540,1410
22060017,11,2,5/4/2013,500,430,530,1460
22060017,11,3,6/1/2013,480,510,530,1520
22060017,12,4,10/5/2013,490,470,540,1500
22060018,11,1,3/1/2013,320,210,290,820
22060018,11,2,5/4/2013,230,310,300,840
22060018,11,3,6/1/2013,270,240,320,830
22060020,11,1,3/1/2011,410,510,420,1340
22060020,11,2,6/1/2011,430,510,490,1430
22060020,12,3,10/1/2011,430,520,490,1440
22060025,11,1,3/8/2014,420,410,410,1240
22060025,11,2,6/7/2014,440,470,420,1330
22060025,12,3,10/11/2014,400,470,360,1230
22060029,11,1,3/8/2014,330,550,460,1340
22060029,11,2,6/7/2014,350,550,450,1350
22060029,12,3,10/11/2014,340,490,360,1190
22060033,11,1,3/1/2013,460,490,530,1480
22060033,11,2,5/4/2013,500,470,580,1550
22060033,11,3,6/1/2013,510,490,590,1590
22060033,12,4,10/5/2013,480,520,530,1530
22060038,11,1,3/8/2014,390,510,360,1260
22060038,11,2,6/7/2014,400,530,410,1340
22060038,12,3,10/11/2014,410,550,350,1310
22060040,11,1,3/1/2013,480,490,590,1560
22060040,11,2,5/4/2013,480,500,590,1570
22060040,11,3,6/1/2013,470,470,550,1490
22060040,12,4,10/5/2013,500,530,580,1610
22060042,11,1,3/1/2013,360,410,440,1210
22060042,11,2,5/4/2013,430,450,350,1230
22060042,11,3,6/1/2013,390,430,440,1260
22060042,12,4,10/5/2013,330,330,430,1090
22060043,11,1,3/8/2014,390,430,420,1240
22060043,11,2,6/7/2014,420,450,410,1280
22060043,12,3,10/11/2014,440,470,390,1300
22060049,11,1,3/1/2013,460,490,510,1460
22060049,11,2,6/1/2013,480,510,550,1540
22060049,12,3,10/5/2013,480,500,470,1450
22060050,11,1,3/1/2013,490,590,530,1610
22060050,11,2,5/4/2013,470,550,470,1490
22060050,11,3,6/1/2013,520,550,580,1650
22060050,12,4,10/5/2013,550,550,520,1620
22060053,11,1,3/1/2013,430,580,490,1500
22060053,11,2,5/4/2013,430,540,550,1520
22060053,11,3,6/1/2013,390,590,540,1520
22060053,12,4,10/5/2013,500,580,570,1650
22060058,11,1,3/1/2013,360,310,400,1070
22060058,11,2,5/4/2013,360,330,400,1090
22060058,11,3,6/1/2013,360,370,480,1210
22060059,11,1,3/8/2014,500,410,520,1430
22060059,11,2,6/7/2014,490,430,500,1420
22060059,12,3,10/11/2014,500,400,440,1340
22060061,11,1,6/7/2014,320,350,400,1070
32050002,10,1,6/1/2011,440,350,430,1220
32050002,11,2,3/1/2012,370,430,410,1210
32050002,11,3,6/1/2012,430,450,410,1290
32050002,12,4,10/1/2012,400,430,390,1220
32050007,10,1,6/1/2011,480,470,310,1260
32050007,11,2,3/1/2012,540,610,520,1670
32050007,11,3,6/1/2012,600,590,580,1770
32050015,11,1,3/1/2012,440,390,380,1210
32050015,11,2,6/1/2012,560,370,440,1370
32050016,10,1,6/1/2011,550,410,400,1360
32050016,11,2,3/1/2012,590,550,560,1700
32050016,11,3,6/1/2012,630,580,570,1780
32050020,10,1,6/1/2011,570,450,490,1510
32050020,11,2,3/1/2012,590,540,650,1780
32050020,11,3,6/1/2012,660,520,620,1800
32050020,12,4,10/1/2012,620,570,610,1800
32050028,10,1,6/1/2011,400,470,320,1190
32050028,11,2,3/1/2012,410,550,550,1510
32050028,11,3,6/1/2012,460,650,510,1620
32050028,12,4,10/1/2012,530,560,460,1550
32050030,11,1,3/1/2012,460,430,570,1460
32050030,11,2,6/1/2012,530,450,600,1580
32050030,12,3,10/1/2012,630,540,540,1710
32050037,10,1,6/1/2011,570,540,450,1560
32050041,10,1,6/1/2011,350,210,200,760
32050041,11,2,3/1/2012,360,380,380,1120
32050041,11,3,6/1/2012,340,400,380,1120
32050041,12,4,10/1/2012,390,440,280,1110
32050046,11,1,1/15/2013,320,500,440,1260
32050046,12,2,10/5/2013,330,490,300,1120
32050047,10,1,6/1/2011,370,370,320,1060
32050047,11,2,3/1/2012,380,600,500,1480
32050047,11,3,6/1/2012,400,600,420,1420
32050048,10,1,6/1/2011,340,320,220,880
32050048,11,2,1/15/2013,370,420,330,1120
32050048,11,3,5/4/2013,270,350,240,860
32050048,12,4,10/5/2013,340,430,280,1050
32050051,10,1,6/1/2011,380,310,310,1000
32050051,11,2,3/1/2012,410,470,470,1350
32050051,11,3,6/1/2012,430,460,500,1390
32050051,12,4,10/1/2012,490,520,520,1530
32050061,10,1,6/1/2011,360,450,330,1140
32050061,11,2,3/1/2012,340,530,470,1340
32050061,11,3,6/1/2012,330,600,420,1350
32050061,12,4,10/1/2012,360,580,470,1410
32050063,11,1,3/1/2012,500,510,580,1590
32050063,11,2,6/1/2012,470,530,590,1590
32050064,11,1,3/1/2012,370,470,440,1280
32050064,11,2,6/1/2012,340,490,430,1260
32050064,12,3,10/1/2012,310,490,420,1220
32050065,10,1,6/1/2011,430,440,300,1170
32050065,11,2,3/1/2012,500,510,550,1560
32050065,11,3,6/1/2012,500,510,560,1570
32050065,12,4,10/1/2012,520,530,500,1550
32050068,10,1,6/1/2011,310,NA,NA,310
32050068,11,2,3/1/2012,400,470,430,1300
32050068,11,3,6/1/2012,390,430,450,1270
32050068,12,4,10/1/2012,440,490,440,1370
32050069,10,1,6/1/2011,370,310,250,930
32050069,11,2,3/1/2012,340,480,420,1240
32050069,11,3,6/1/2012,430,510,470,1410
32050069,12,4,10/1/2012,390,470,460,1320
32050073,10,1,6/1/2011,450,340,410,1200
32050073,11,2,3/1/2012,440,460,520,1420
32050073,11,3,6/1/2012,450,490,500,1440
32050073,12,4,10/1/2012,460,510,460,1430
32050082,11,1,3/1/2012,520,500,580,1600
32050082,11,2,6/1/2012,470,550,560,1580
32060001,11,1,1/15/2013,370,480,360,1210
32060001,11,2,5/4/2013,370,470,410,1250
32060006,11,1,1/15/2013,510,480,480,1470
32060006,11,2,5/4/2013,520,490,560,1570
32060006,12,3,10/5/2013,540,500,510,1550
32060009,11,1,1/15/2013,450,540,470,1460
32060009,11,2,5/4/2013,450,580,420,1450
32060009,12,3,10/5/2013,410,560,530,1500
32060022,11,1,1/15/2013,480,520,490,1490
32060022,11,2,5/4/2013,460,510,570,1540
32060022,12,3,10/5/2013,500,460,580,1540
32060023,11,1,1/15/2013,440,490,440,1370
32060023,11,2,5/4/2013,420,520,520,1460
32060023,12,3,10/5/2013,460,480,510,1450
32060026,11,1,1/15/2013,350,300,350,1000
32060026,12,2,10/5/2013,260,400,380,1040
32060028,11,1,1/24/2015,280,390,300,970
32060034,11,1,1/15/2013,400,400,400,1200
32060034,11,2,5/4/2013,350,480,340,1170
32060034,12,3,10/5/2013,390,440,350,1180
32060035,11,1,1/15/2013,460,480,430,1370
32060035,11,2,5/4/2013,430,470,490,1390
32060035,12,3,10/5/2013,350,510,470,1330
32060039,11,1,1/15/2013,420,480,380,1280
32060039,11,2,6/1/2013,430,600,460,1490
32060041,11,1,1/15/2013,480,550,490,1520
32060041,11,2,5/4/2013,450,500,470,1420
32060041,12,3,10/5/2013,480,500,480,1460
32060044,11,1,1/15/2013,510,580,470,1560
32060044,11,2,5/4/2013,470,550,440,1460
32060044,12,3,10/5/2013,410,570,360,1340
32060051,11,1,1/15/2013,420,440,390,1250
32060051,11,2,5/4/2013,310,470,400,1180
32060051,12,3,10/5/2013,360,460,360,1180
32060059,11,1,1/15/2013,400,370,410,1180
32060059,11,2,5/4/2013,340,400,400,1140
32060067,11,1,1/15/2013,460,500,450,1410
32060067,11,2,5/4/2013,420,510,520,1450
32060067,12,3,10/5/2013,440,480,490,1410
32060072,11,1,1/15/2013,540,590,580,1710
32060072,11,2,5/4/2013,530,710,590,1830
32060072,12,3,10/5/2013,500,600,490,1590
32060075,11,1,1/15/2013,490,400,460,1350
32060075,11,2,5/4/2013,430,410,460,1300
32060075,12,3,10/5/2013,410,440,470,1320
32060078,11,1,6/7/2014,380,340,270,990
32060081,11,1,1/15/2013,570,680,550,1800
32060081,11,2,5/4/2013,620,670,650,1940
32060081,12,3,10/5/2013,630,750,640,2020
32060089,10,1,6/1/2011,450,470,330,1250
32060089,11,2,3/1/2012,480,510,460,1450
32060089,11,3,6/1/2012,470,520,460,1450
32060089,12,4,10/1/2012,530,540,440,1510
32060095,10,1,6/1/2011,430,370,300,1100
32060095,11,2,3/1/2012,370,470,400,1240
32060095,11,3,6/1/2012,470,450,460,1380
32060095,12,4,10/1/2012,460,480,490,1430
32060096,10,1,6/1/2011,360,360,300,1020
32060096,11,2,3/1/2012,350,430,430,1210
32060096,11,3,6/1/2012,400,490,390,1280
32060096,12,4,10/1/2012,420,510,450,1380
32060098,10,1,6/1/2011,410,310,300,1020
32060098,11,2,3/1/2012,510,460,470,1440
32060098,11,3,6/1/2012,500,450,460,1410
32060098,12,4,10/1/2012,430,510,410,1350
32060099,10,1,6/1/2011,470,480,340,1290
32060099,11,2,3/1/2012,410,550,420,1380
32060099,11,3,6/1/2012,430,560,500,1490
32060099,12,4,10/1/2012,460,590,440,1490
62060003,11,1,1/15/2013,300,480,350,1130
62060003,11,2,6/1/2013,370,590,290,1250
62060003,12,3,10/5/2013,360,540,430,1330
62060006,11,1,5/3/2014,380,320,330,1030
62060011,11,1,1/15/2013,240,430,320,990
62060011,11,2,5/4/2013,320,420,390,1130
62060017,11,1,1/15/2013,430,530,450,1410
