StudentID,State,PLE,Gender,Grade,Indicator,Attempt,Date,Reading,Math,Writing,Total,X9.0.Reading,X9.0.Writing,X9.0.Math,X9.0.Other.s.,X9.0.Other,X9.0.Sports,X9.0.Arts,X9.1.Reading,X9.1.Writing,X9.1.Math,X9.1.Other.s.,X9.1.Other,X9.1.Sports,X9.1.Arts,X10.0.Reading,X10.0.Writing,X10.0.Math,X10.0.Other.s.,X10.0.Other,X10.0.Sports,X10.0.Arts,X10.1.Reading,X10.1.Writing,X10.1.Math,X10.1.Other.s.,X10.1.Other,X10.1.Sports,X10.1.Arts,X11.0.Reading,X11.0.Writing,X11.0.Math,X11.0.Other.s.,X11.0.Other,X11.0.Sports,X11.0.Arts,X11.1.Reading,X11.1.Writing,X11.1.Math,X11.1.Other.s.,X11.1.Other,X11.1.Sports,X11.1.Arts,X12.0.Reading,X12.0.Writing,X12.0.Math,X12.0.Other.s.,X12.0.Other,X12.0.Sports,X12.0.Arts,X12.1.Reading,X12.1.Writing,X12.1.Math,X12.1.Other.s.,X12.1.Other,X12.1.Sports,X12.1.Arts
12030056,CT,5,F,12,X12.0,1,10/1/2010,540,470,630,1640,90,NA,77,94,1,1,1,NA,NA,NA,NA,0,0,0,91.5,NA,73.5,104.5,1,0,1,NA,NA,NA,NA,0,0,0,96,91,80,92.9,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,76,90,1,1,1,NA,NA,NA,NA,0,0,0
12030056,CT,5,F,12,X12.0,2,3/1/2011,700,530,620,1850,90,NA,77,94,1,1,1,NA,NA,NA,NA,0,0,0,91.5,NA,73.5,104.5,1,0,1,NA,NA,NA,NA,0,0,0,96,91,80,92.9,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,76,90,1,1,1,NA,NA,NA,NA,0,0,0
12030056,CT,5,F,12,X12.0,3,6/1/2011,570,500,700,1770,90,NA,77,94,1,1,1,NA,NA,NA,NA,0,0,0,91.5,NA,73.5,104.5,1,0,1,NA,NA,NA,NA,0,0,0,96,91,80,92.9,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,76,90,1,1,1,NA,NA,NA,NA,0,0,0
12030061,CT,5,M,12,X12.0,1,3/1/2011,520,470,350,1340,70,NA,66,66,1,1,0,81,NA,76,91,1,1,0,88,NA,80,91,1,0,0,NA,NA,NA,NA,0,0,0,61.5,NA,87,73,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,50,83.7,1,1,1,NA,NA,72.8,82.8,1,1,0
12030061,CT,5,M,12,X12.0,2,6/1/2011,450,490,350,1290,70,NA,66,66,1,1,0,81,NA,76,91,1,1,0,88,NA,80,91,1,0,0,NA,NA,NA,NA,0,0,0,61.5,NA,87,73,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,50,83.7,1,1,1,NA,NA,72.8,82.8,1,1,0
12040002,CT,7,M,11,X11.0,1,3/1/2011,360,410,410,1180,75,63,68.5,58,0,1,0,NA,NA,NA,NA,0,0,0,88.5,68,70,77.6,0,1,1,NA,NA,NA,NA,0,0,0,57,86,79,77.7,1,1,0,NA,NA,NA,NA,0,0,0,82,81,50,75.5,1,1,1,NA,NA,NA,NA,0,0,0
12040002,CT,7,M,11,X11.0,2,6/1/2011,390,430,410,1230,75,63,68.5,58,0,1,0,NA,NA,NA,NA,0,0,0,88.5,68,70,77.6,0,1,1,NA,NA,NA,NA,0,0,0,57,86,79,77.7,1,1,0,NA,NA,NA,NA,0,0,0,82,81,50,75.5,1,1,1,NA,NA,NA,NA,0,0,0
12040002,CT,7,M,12,X12.0,3,10/1/2011,390,430,430,1250,75,63,68.5,58,0,1,0,NA,NA,NA,NA,0,0,0,88.5,68,70,77.6,0,1,1,NA,NA,NA,NA,0,0,0,57,86,79,77.7,1,1,0,NA,NA,NA,NA,0,0,0,82,81,50,75.5,1,1,1,NA,NA,NA,NA,0,0,0
12040003,CT,6,M,11,X11.0,1,3/1/2011,360,340,400,1100,76.5,77,57,75,0,1,0,NA,NA,NA,NA,0,0,0,65,58,67,80.5,0,1,1,NA,NA,NA,NA,0,0,0,67,87,68,81,1,1,0,NA,NA,NA,NA,0,0,0,74,68,56,74.1,1,1,1,NA,NA,NA,NA,0,0,0
12040003,CT,6,M,11,X11.0,2,6/1/2011,400,400,430,1230,76.5,77,57,75,0,1,0,NA,NA,NA,NA,0,0,0,65,58,67,80.5,0,1,1,NA,NA,NA,NA,0,0,0,67,87,68,81,1,1,0,NA,NA,NA,NA,0,0,0,74,68,56,74.1,1,1,1,NA,NA,NA,NA,0,0,0
12040003,CT,6,M,12,X12.0,3,10/1/2011,430,440,430,1300,76.5,77,57,75,0,1,0,NA,NA,NA,NA,0,0,0,65,58,67,80.5,0,1,1,NA,NA,NA,NA,0,0,0,67,87,68,81,1,1,0,NA,NA,NA,NA,0,0,0,74,68,56,74.1,1,1,1,NA,NA,NA,NA,0,0,0
12040027,CT,5,M,11,X11.0,1,3/1/2011,510,630,560,1700,91.5,94,98,96,1,1,0,NA,NA,NA,NA,0,0,0,99,84,92,92.2,0,1,1,NA,NA,NA,NA,0,0,0,86,92,100,94,1,0,1,NA,NA,NA,NA,0,0,0,100,92.7,100,99.2,1,0,1,NA,NA,NA,NA,0,0,0
12040027,CT,5,M,11,X11.0,2,6/1/2011,520,620,690,1830,91.5,94,98,96,1,1,0,NA,NA,NA,NA,0,0,0,99,84,92,92.2,0,1,1,NA,NA,NA,NA,0,0,0,86,92,100,94,1,0,1,NA,NA,NA,NA,0,0,0,100,92.7,100,99.2,1,0,1,NA,NA,NA,NA,0,0,0
12040027,CT,5,M,12,X12.0,3,10/1/2011,600,630,710,1940,91.5,94,98,96,1,1,0,NA,NA,NA,NA,0,0,0,99,84,92,92.2,0,1,1,NA,NA,NA,NA,0,0,0,86,92,100,94,1,0,1,NA,NA,NA,NA,0,0,0,100,92.7,100,99.2,1,0,1,NA,NA,NA,NA,0,0,0
12040036,CT,8,M,11,X11.0,1,3/1/2012,590,650,620,1860,63.5,71,66,85,1,1,0,NA,NA,NA,NA,0,0,0,69,66,67,78.8,0,1,1,93,81,93,84.3,0,1,1,90,75,76,83.3,1,1,0,NA,NA,NA,NA,0,0,0,72,78,87,82.6,1,0,1,NA,NA,NA,NA,0,0,0
